time,sea_level,std_error,station,latitude,longitude,depth
1967-01-15T00:00:00Z,NaN,0.0,SouthBeachOR,44.6,124.0,NaN
1967-02-15T00:00:00Z,2697.0742,0.0,SouthBeachOR,44.6,124.0,NaN
1967-03-15T00:00:00Z,2849.6128,0.0,SouthBeachOR,44.6,124.0,NaN
1967-04-15T00:00:00Z,2773.2,0.0,SouthBeachOR,44.6,124.0,NaN
1967-05-15T00:00:00Z,2597.9678,0.0,SouthBeachOR,44.6,124.0,NaN
1967-06-15T00:00:00Z,2640.7,0.0,SouthBeachOR,44.6,124.0,NaN
1967-07-15T00:00:00Z,2610.9678,0.0,SouthBeachOR,44.6,124.0,NaN
1967-08-15T00:00:00Z,2645.1936,0.0,SouthBeachOR,44.6,124.0,NaN
1967-09-15T00:00:00Z,2722.7666,0.0,SouthBeachOR,44.6,124.0,NaN
1967-10-15T00:00:00Z,2759.4517,0.0,SouthBeachOR,44.6,124.0,NaN
1967-11-15T00:00:00Z,2761.2222,0.0,SouthBeachOR,44.6,124.0,NaN
1967-12-15T00:00:00Z,2810.9333,0.0,SouthBeachOR,44.6,124.0,NaN
1968-01-15T00:00:00Z,2835.5806,0.0,SouthBeachOR,44.6,124.0,NaN
1968-02-15T00:00:00Z,2913.724,0.0,SouthBeachOR,44.6,124.0,NaN
1968-03-15T00:00:00Z,2813.6128,0.0,SouthBeachOR,44.6,124.0,NaN
1968-04-15T00:00:00Z,2537.2334,0.0,SouthBeachOR,44.6,124.0,NaN
1968-05-15T00:00:00Z,2657.8386,0.0,SouthBeachOR,44.6,124.0,NaN
1968-06-15T00:00:00Z,2608.6667,0.0,SouthBeachOR,44.6,124.0,NaN
1968-07-15T00:00:00Z,2640.1614,0.0,SouthBeachOR,44.6,124.0,NaN
1968-08-15T00:00:00Z,2737.7097,0.0,SouthBeachOR,44.6,124.0,NaN
1968-09-15T00:00:00Z,2704.6333,0.0,SouthBeachOR,44.6,124.0,NaN
1968-10-15T00:00:00Z,2783.5483,0.0,SouthBeachOR,44.6,124.0,NaN
1968-11-15T00:00:00Z,2878.6,0.0,SouthBeachOR,44.6,124.0,NaN
1968-12-15T00:00:00Z,3025.0645,0.0,SouthBeachOR,44.6,124.0,NaN
1969-01-15T00:00:00Z,2994.516,0.0,SouthBeachOR,44.6,124.0,NaN
1969-02-15T00:00:00Z,2999.3572,0.0,SouthBeachOR,44.6,124.0,NaN
1969-03-15T00:00:00Z,2726.2903,0.0,SouthBeachOR,44.6,124.0,NaN
1969-04-15T00:00:00Z,2795.6333,0.0,SouthBeachOR,44.6,124.0,NaN
1969-05-15T00:00:00Z,2675.2258,0.0,SouthBeachOR,44.6,124.0,NaN
1969-06-15T00:00:00Z,2688.7666,0.0,SouthBeachOR,44.6,124.0,NaN
1969-07-15T00:00:00Z,2597.7097,0.0,SouthBeachOR,44.6,124.0,NaN
1969-08-15T00:00:00Z,2619.1614,0.0,SouthBeachOR,44.6,124.0,NaN
1969-09-15T00:00:00Z,2714.1,0.0,SouthBeachOR,44.6,124.0,NaN
1969-10-15T00:00:00Z,2764.0645,0.0,SouthBeachOR,44.6,124.0,NaN
1969-11-15T00:00:00Z,2785.0,0.0,SouthBeachOR,44.6,124.0,NaN
1969-12-15T00:00:00Z,2980.6453,0.0,SouthBeachOR,44.6,124.0,NaN
1970-01-15T00:00:00Z,3008.7742,0.0,SouthBeachOR,44.6,124.0,NaN
1970-02-15T00:00:00Z,2881.0356,0.0,SouthBeachOR,44.6,124.0,NaN
1970-03-15T00:00:00Z,2743.516,0.0,SouthBeachOR,44.6,124.0,NaN
1970-04-15T00:00:00Z,2561.7334,0.0,SouthBeachOR,44.6,124.0,NaN
1970-05-15T00:00:00Z,2556.7097,0.0,SouthBeachOR,44.6,124.0,NaN
1970-06-15T00:00:00Z,2598.9333,0.0,SouthBeachOR,44.6,124.0,NaN
1970-07-15T00:00:00Z,2602.742,0.0,SouthBeachOR,44.6,124.0,NaN
1970-08-15T00:00:00Z,2636.129,0.0,SouthBeachOR,44.6,124.0,NaN
1970-09-15T00:00:00Z,2625.8,0.0,SouthBeachOR,44.6,124.0,NaN
1970-10-15T00:00:00Z,2739.0645,0.0,SouthBeachOR,44.6,124.0,NaN
1970-11-15T00:00:00Z,2873.4333,0.0,SouthBeachOR,44.6,124.0,NaN
1970-12-15T00:00:00Z,3004.258,0.0,SouthBeachOR,44.6,124.0,NaN
1971-01-15T00:00:00Z,2811.3872,0.0,SouthBeachOR,44.6,124.0,NaN
1971-02-15T00:00:00Z,2718.8572,0.0,SouthBeachOR,44.6,124.0,NaN
1971-03-15T00:00:00Z,2813.9033,0.0,SouthBeachOR,44.6,124.0,NaN
1971-04-15T00:00:00Z,2724.4668,0.0,SouthBeachOR,44.6,124.0,NaN
1971-05-15T00:00:00Z,2624.1614,0.0,SouthBeachOR,44.6,124.0,NaN
1971-06-15T00:00:00Z,2665.3667,0.0,SouthBeachOR,44.6,124.0,NaN
1971-07-15T00:00:00Z,2635.6453,0.0,SouthBeachOR,44.6,124.0,NaN
1971-08-15T00:00:00Z,2702.871,0.0,SouthBeachOR,44.6,124.0,NaN
1971-09-15T00:00:00Z,2724.0,0.0,SouthBeachOR,44.6,124.0,NaN
1971-10-15T00:00:00Z,2679.2258,0.0,SouthBeachOR,44.6,124.0,NaN
1971-11-15T00:00:00Z,2754.2666,0.0,SouthBeachOR,44.6,124.0,NaN
1971-12-15T00:00:00Z,2878.1614,0.0,SouthBeachOR,44.6,124.0,NaN
1972-01-15T00:00:00Z,2810.1614,0.0,SouthBeachOR,44.6,124.0,NaN
1972-02-15T00:00:00Z,2864.7932,0.0,SouthBeachOR,44.6,124.0,NaN
1972-03-15T00:00:00Z,2827.7097,0.0,SouthBeachOR,44.6,124.0,NaN
1972-04-15T00:00:00Z,2741.7,0.0,SouthBeachOR,44.6,124.0,NaN
1972-05-15T00:00:00Z,2638.1614,0.0,SouthBeachOR,44.6,124.0,NaN
1972-06-15T00:00:00Z,2673.5667,0.0,SouthBeachOR,44.6,124.0,NaN
1972-07-15T00:00:00Z,2685.6128,0.0,SouthBeachOR,44.6,124.0,NaN
1972-08-15T00:00:00Z,2711.8064,0.0,SouthBeachOR,44.6,124.0,NaN
1972-09-15T00:00:00Z,2731.8,0.0,SouthBeachOR,44.6,124.0,NaN
1972-10-15T00:00:00Z,2727.3547,0.0,SouthBeachOR,44.6,124.0,NaN
1972-11-15T00:00:00Z,2847.4333,0.0,SouthBeachOR,44.6,124.0,NaN
1972-12-15T00:00:00Z,2905.7742,0.0,SouthBeachOR,44.6,124.0,NaN
1973-01-15T00:00:00Z,2920.1936,0.0,SouthBeachOR,44.6,124.0,NaN
1973-02-15T00:00:00Z,2879.1072,0.0,SouthBeachOR,44.6,124.0,NaN
