time,copepod_species_richness_anomaly,northern_copepod_biomass_anomaly,southern_copepod_biomass_anomaly
1996-06-01T00:00:00Z,-1.7328703,-0.3933127,0.15042615
1996-07-01T00:00:00Z,-2.4842594,0.042731665,-0.10064816
1996-08-01T00:00:00Z,-1.212963,-0.21686913,-0.033057872
1996-09-01T00:00:00Z,-1.0175925,0.11352864,0.050689083
1996-10-01T00:00:00Z,-1.0277778,0.23472638,0.0010655865
1996-11-01T00:00:00Z,-2.1944444,-0.09749259,0.07490216
1996-12-01T00:00:00Z,-2.1,0.31581557,0.03069
1997-02-01T00:00:00Z,-2.0729167,0.016169097,0.02069051
1997-03-01T00:00:00Z,-0.8627451,0.3042647,-0.04084831
1997-04-01T00:00:00Z,1.1813725,-0.20388399,0.12854423
1997-05-01T00:00:00Z,-1.125,0.08346142,-0.09842906
1997-06-01T00:00:00Z,-3.2328703,-0.800396,-0.10648497
1997-07-01T00:00:00Z,-2.1842592,-0.33543167,0.08411295
1997-08-01T00:00:00Z,0.12037037,-0.3169969,0.19213842
1997-09-01T00:00:00Z,4.4824076,-0.68462133,0.43221685
1997-10-01T00:00:00Z,0.9722222,-1.3706902,0.38996002
1997-11-01T00:00:00Z,-0.6944444,-0.6733426,0.33585772
1997-12-01T00:00:00Z,0.9,-1.0062511,0.06993444
1998-01-01T00:00:00Z,-2.7083333,-0.9116625,0.08946621
1998-03-01T00:00:00Z,3.637255,-1.0081186,0.2844128
1998-04-01T00:00:00Z,0.43137255,-1.2034839,0.2657998
1998-05-01T00:00:00Z,4.5416665,-0.99313855,0.4442302
1998-06-01T00:00:00Z,5.2671294,-1.1545571,0.58248913
1998-07-01T00:00:00Z,5.349074,-0.5532072,0.7087241
1998-08-01T00:00:00Z,4.287037,-0.8312302,0.6952884
1998-09-01T00:00:00Z,3.2324073,-0.2515297,0.5632224
1998-10-01T00:00:00Z,0.9722222,-0.29539028,0.23473781
1998-11-01T00:00:00Z,4.8055553,0.29942408,0.25155216
1998-12-01T00:00:00Z,-1.1,-0.51838446,-0.105687775
1999-02-01T00:00:00Z,-4.0729165,0.09490243,-0.047565047
1999-03-01T00:00:00Z,0.13725491,-0.63520193,-0.023070535
1999-04-01T00:00:00Z,-0.31862745,-0.53908396,-0.03720207
1999-05-01T00:00:00Z,-1.9583334,0.03589475,-0.17083092
1999-06-01T00:00:00Z,-2.7328703,0.3303373,-0.24245164
1999-07-01T00:00:00Z,-1.9842592,-0.156225,-0.17935815
1999-08-01T00:00:00Z,-3.2129629,0.034080863,-0.24445231
1999-09-01T00:00:00Z,-3.0175927,-0.024788024,-0.32160535
1999-10-01T00:00:00Z,-1.0277778,0.56990975,-0.18630664
1999-11-01T00:00:00Z,-7.1944447,-0.076425925,-0.5572534
1999-12-01T00:00:00Z,0.9,0.3142489,-0.15692112
2000-01-01T00:00:00Z,-1.7083334,0.21870416,-0.4218449
2000-02-01T00:00:00Z,-4.0729165,-0.4064309,-0.27368727
2000-03-01T00:00:00Z,-0.8627451,-0.8538686,-0.33052608
2000-04-01T00:00:00Z,-4.3186274,0.12016046,-0.36338356
2000-05-01T00:00:00Z,-4.4583335,-0.22073857,-0.31642535
2000-06-01T00:00:00Z,-4.13287,-0.28535935,-0.23234275
2000-07-01T00:00:00Z,-3.4842594,0.199415,-0.21425371
2000-08-01T00:00:00Z,-1.962963,0.3041392,-0.13856898
2000-09-01T00:00:00Z,-3.0175927,0.75165087,-0.13743684
2000-10-01T00:00:00Z,-4.5277777,0.40465972,-0.26793995
2000-11-01T00:00:00Z,-2.1944444,0.07777408,-0.23935339
2000-12-01T00:00:00Z,0.9,0.2923489,0.019667778
2001-01-01T00:00:00Z,0.7916667,-0.022795834,-0.09546713
2001-02-01T00:00:00Z,-0.072916664,-0.14459758,-0.16129282
2001-03-01T00:00:00Z,0.6372549,-0.062451962,-0.08382609
2001-04-01T00:00:00Z,-1.9852941,0.049671568,-0.29929096
2001-05-01T00:00:00Z,-1.4583334,0.13052809,-0.3071309
2001-06-01T00:00:00Z,-1.4828703,0.19087897,-0.22125997
2001-07-01T00:00:00Z,-0.73425925,0.06529,-0.18148427
2001-08-01T00:00:00Z,0.28703704,0.2770142,-0.13645972
