time,region,domoic_acid_concentration
2005-03-15T00:00:00Z,WA Coast,24.0
2005-04-15T00:00:00Z,WA Coast,20.0
2005-05-15T00:00:00Z,WA Coast,29.0
2005-06-15T00:00:00Z,WA Coast,15.0
2005-07-15T00:00:00Z,WA Coast,10.0
2005-08-15T00:00:00Z,WA Coast,7.0
2005-09-15T00:00:00Z,WA Coast,6.0
2005-10-15T00:00:00Z,WA Coast,11.0
2005-11-15T00:00:00Z,WA Coast,9.0
2005-12-15T00:00:00Z,WA Coast,7.0
2006-01-15T00:00:00Z,WA Coast,5.0
2006-02-15T00:00:00Z,WA Coast,6.0
2006-03-15T00:00:00Z,WA Coast,3.0
2006-04-15T00:00:00Z,WA Coast,7.0
2006-05-15T00:00:00Z,WA Coast,6.0
2006-06-15T00:00:00Z,WA Coast,4.0
2006-07-15T00:00:00Z,WA Coast,38.0
2006-08-15T00:00:00Z,WA Coast,26.0
2006-09-15T00:00:00Z,WA Coast,20.0
2006-10-15T00:00:00Z,WA Coast,18.0
2006-11-15T00:00:00Z,WA Coast,13.0
2006-12-15T00:00:00Z,WA Coast,14.0
2007-01-15T00:00:00Z,WA Coast,14.0
2007-02-15T00:00:00Z,WA Coast,15.0
2007-03-15T00:00:00Z,WA Coast,7.0
2007-04-15T00:00:00Z,WA Coast,14.0
2007-05-15T00:00:00Z,WA Coast,8.0
2007-06-15T00:00:00Z,WA Coast,6.0
2007-07-15T00:00:00Z,WA Coast,5.0
2007-08-15T00:00:00Z,WA Coast,4.0
2007-09-15T00:00:00Z,WA Coast,2.0
2007-10-15T00:00:00Z,WA Coast,2.0
2007-11-15T00:00:00Z,WA Coast,1.0
2007-12-15T00:00:00Z,WA Coast,2.0
2008-01-15T00:00:00Z,WA Coast,3.0
2008-02-15T00:00:00Z,WA Coast,1.0
2008-03-15T00:00:00Z,WA Coast,0.0
2008-04-15T00:00:00Z,WA Coast,1.0
2008-05-15T00:00:00Z,WA Coast,1.0
2008-06-15T00:00:00Z,WA Coast,1.0
2008-07-15T00:00:00Z,WA Coast,1.0
2008-08-15T00:00:00Z,WA Coast,1.0
2008-09-15T00:00:00Z,WA Coast,0.0
2008-10-15T00:00:00Z,WA Coast,1.0
2008-11-15T00:00:00Z,WA Coast,2.0
2008-12-15T00:00:00Z,WA Coast,2.0
2009-01-15T00:00:00Z,WA Coast,1.0
2009-02-15T00:00:00Z,WA Coast,0.0
2009-03-15T00:00:00Z,WA Coast,1.0
2009-04-15T00:00:00Z,WA Coast,2.0
2009-05-15T00:00:00Z,WA Coast,2.0
2009-06-15T00:00:00Z,WA Coast,2.0
2009-07-15T00:00:00Z,WA Coast,1.0
2009-08-15T00:00:00Z,WA Coast,8.0
2009-09-15T00:00:00Z,WA Coast,8.0
2009-10-15T00:00:00Z,WA Coast,6.0
2009-11-15T00:00:00Z,WA Coast,7.0
2009-12-15T00:00:00Z,WA Coast,3.0
2010-01-15T00:00:00Z,WA Coast,4.0
2010-02-15T00:00:00Z,WA Coast,3.0
2010-03-15T00:00:00Z,WA Coast,2.0
2010-04-15T00:00:00Z,WA Coast,2.0
2010-05-15T00:00:00Z,WA Coast,2.0
2010-06-15T00:00:00Z,WA Coast,2.0
2010-07-15T00:00:00Z,WA Coast,2.0
2010-08-15T00:00:00Z,WA Coast,1.0
2010-09-15T00:00:00Z,WA Coast,1.0
2010-10-15T00:00:00Z,WA Coast,0.0
2010-11-15T00:00:00Z,WA Coast,1.0
2010-12-15T00:00:00Z,WA Coast,1.0
2011-01-15T00:00:00Z,WA Coast,1.0
2011-02-15T00:00:00Z,WA Coast,0.0
2011-03-15T00:00:00Z,WA Coast,0.0
2011-04-15T00:00:00Z,WA Coast,0.0
2011-05-15T00:00:00Z,WA Coast,1.0
2011-06-15T00:00:00Z,WA Coast,0.0
2011-07-15T00:00:00Z,WA Coast,0.0
2011-08-15T00:00:00Z,WA Coast,0.0
2011-09-15T00:00:00Z,WA Coast,2.0
2011-10-15T00:00:00Z,WA Coast,1.0
2011-11-15T00:00:00Z,WA Coast,1.0
2011-12-15T00:00:00Z,WA Coast,1.0
2012-01-15T00:00:00Z,WA Coast,0.0
2012-02-15T00:00:00Z,WA Coast,0.0
2012-03-15T00:00:00Z,WA Coast,1.0
2012-04-15T00:00:00Z,WA Coast,0.0
2012-05-15T00:00:00Z,WA Coast,1.0
2012-06-15T00:00:00Z,WA Coast,1.0
2012-07-15T00:00:00Z,WA Coast,0.0
2012-08-15T00:00:00Z,WA Coast,4.0
2012-09-15T00:00:00Z,WA Coast,2.0
2012-10-15T00:00:00Z,WA Coast,3.0
2012-11-15T00:00:00Z,WA Coast,3.0
2012-12-15T00:00:00Z,WA Coast,2.0
2013-01-15T00:00:00Z,WA Coast,2.0
2013-02-15T00:00:00Z,WA Coast,1.0
2013-03-15T00:00:00Z,WA Coast,2.0
2013-04-15T00:00:00Z,WA Coast,1.0
2013-05-15T00:00:00Z,WA Coast,1.0
2013-06-15T00:00:00Z,WA Coast,1.0
2013-07-15T00:00:00Z,WA Coast,2.0
2013-08-15T00:00:00Z,WA Coast,3.0
2013-09-15T00:00:00Z,WA Coast,3.0
2013-10-15T00:00:00Z,WA Coast,3.0
2013-11-15T00:00:00Z,WA Coast,4.0
2013-12-15T00:00:00Z,WA Coast,6.0
2014-01-15T00:00:00Z,WA Coast,6.0
2014-02-15T00:00:00Z,WA Coast,3.0
2014-03-15T00:00:00Z,WA Coast,3.0
2014-04-15T00:00:00Z,WA Coast,4.0
2014-05-15T00:00:00Z,WA Coast,4.0
2014-06-15T00:00:00Z,WA Coast,3.0
2014-07-15T00:00:00Z,WA Coast,2.0
2014-08-15T00:00:00Z,WA Coast,2.0
2014-09-15T00:00:00Z,WA Coast,1.0
2014-10-15T00:00:00Z,WA Coast,1.0
2014-11-15T00:00:00Z,WA Coast,2.0
2014-12-15T00:00:00Z,WA Coast,2.0
2015-01-15T00:00:00Z,WA Coast,1.0
2015-02-15T00:00:00Z,WA Coast,1.0
2015-03-15T00:00:00Z,WA Coast,1.0
2015-04-15T00:00:00Z,WA Coast,3.0
2015-05-15T00:00:00Z,WA Coast,169.0
2015-06-15T00:00:00Z,WA Coast,152.0
2015-07-15T00:00:00Z,WA Coast,99.0
2015-08-15T00:00:00Z,WA Coast,75.0
2015-09-15T00:00:00Z,WA Coast,68.0
2015-10-15T00:00:00Z,WA Coast,74.0
2015-11-15T00:00:00Z,WA Coast,36.0
2015-12-15T00:00:00Z,WA Coast,50.0
2016-01-15T00:00:00Z,WA Coast,53.0
2016-02-15T00:00:00Z,WA Coast,37.0
2016-03-15T00:00:00Z,WA Coast,30.0
2016-04-15T00:00:00Z,WA Coast,36.0
2016-05-15T00:00:00Z,WA Coast,31.0
2016-06-15T00:00:00Z,WA Coast,20.0
2016-07-15T00:00:00Z,WA Coast,14.0
2016-08-15T00:00:00Z,WA Coast,11.0
2016-09-15T00:00:00Z,WA Coast,29.0
2016-10-15T00:00:00Z,WA Coast,26.0
2016-11-15T00:00:00Z,WA Coast,28.0
2016-12-15T00:00:00Z,WA Coast,35.0
2017-01-15T00:00:00Z,WA Coast,34.0
2017-02-15T00:00:00Z,WA Coast,52.0
2017-03-15T00:00:00Z,WA Coast,36.0
2017-04-15T00:00:00Z,WA Coast,44.0
2017-05-15T00:00:00Z,WA Coast,41.0
2017-06-15T00:00:00Z,WA Coast,34.0
2017-07-15T00:00:00Z,WA Coast,14.0
2017-08-15T00:00:00Z,WA Coast,23.0
2017-09-15T00:00:00Z,WA Coast,13.0
2017-10-15T00:00:00Z,WA Coast,11.0
2017-11-15T00:00:00Z,WA Coast,31.0
2017-12-15T00:00:00Z,WA Coast,20.0
2018-01-15T00:00:00Z,WA Coast,9.0
2018-02-15T00:00:00Z,WA Coast,12.0
2018-03-15T00:00:00Z,WA Coast,21.0
2018-04-15T00:00:00Z,WA Coast,7.0
2018-05-15T00:00:00Z,WA Coast,5.0
2018-06-15T00:00:00Z,WA Coast,3.0
2018-07-15T00:00:00Z,WA Coast,2.0
2018-08-15T00:00:00Z,WA Coast,2.0
2018-09-15T00:00:00Z,WA Coast,2.0
2018-10-15T00:00:00Z,WA Coast,3.0
2018-11-15T00:00:00Z,WA Coast,3.0
2018-12-15T00:00:00Z,WA Coast,4.0
2019-01-15T00:00:00Z,WA Coast,7.0
2019-02-15T00:00:00Z,WA Coast,6.0
2019-03-15T00:00:00Z,WA Coast,7.0
2019-04-15T00:00:00Z,WA Coast,7.0
2019-05-15T00:00:00Z,WA Coast,4.0
2019-06-15T00:00:00Z,WA Coast,4.0
2019-07-15T00:00:00Z,WA Coast,3.0
2019-08-15T00:00:00Z,WA Coast,3.0
2019-09-15T00:00:00Z,WA Coast,2.0
2019-10-15T00:00:00Z,WA Coast,8.0
2019-11-15T00:00:00Z,WA Coast,7.0
1991-10-15T00:00:00Z,OR Coast,68.0
1991-11-15T00:00:00Z,OR Coast,124.0
1991-12-15T00:00:00Z,OR Coast,58.0
1992-03-15T00:00:00Z,OR Coast,32.0
1992-04-15T00:00:00Z,OR Coast,51.0
1992-05-15T00:00:00Z,OR Coast,39.0
1992-06-15T00:00:00Z,OR Coast,31.0
1992-07-15T00:00:00Z,OR Coast,15.0
1992-08-15T00:00:00Z,OR Coast,13.0
1992-09-15T00:00:00Z,OR Coast,9.0
1992-10-15T00:00:00Z,OR Coast,56.0
1992-11-15T00:00:00Z,OR Coast,10.0
1992-12-15T00:00:00Z,OR Coast,6.0
1993-01-15T00:00:00Z,OR Coast,9.0
1993-02-15T00:00:00Z,OR Coast,8.0
1993-03-15T00:00:00Z,OR Coast,3.0
1993-04-15T00:00:00Z,OR Coast,12.0
1993-05-15T00:00:00Z,OR Coast,13.0
1993-06-15T00:00:00Z,OR Coast,13.0
1993-07-15T00:00:00Z,OR Coast,4.0
1993-08-15T00:00:00Z,OR Coast,2.0
1993-09-15T00:00:00Z,OR Coast,3.0
1993-10-15T00:00:00Z,OR Coast,5.0
1993-11-15T00:00:00Z,OR Coast,10.0
1993-12-15T00:00:00Z,OR Coast,16.0
1994-01-15T00:00:00Z,OR Coast,24.0
1994-02-15T00:00:00Z,OR Coast,13.0
1994-03-15T00:00:00Z,OR Coast,7.0
1994-04-15T00:00:00Z,OR Coast,4.0
1994-05-15T00:00:00Z,OR Coast,4.0
1994-06-15T00:00:00Z,OR Coast,5.0
1994-07-15T00:00:00Z,OR Coast,3.0
1994-08-15T00:00:00Z,OR Coast,5.0
1994-09-15T00:00:00Z,OR Coast,2.0
1994-10-15T00:00:00Z,OR Coast,4.0
1994-12-15T00:00:00Z,OR Coast,0.0
1995-01-15T00:00:00Z,OR Coast,3.0
1995-02-15T00:00:00Z,OR Coast,3.0
1995-03-15T00:00:00Z,OR Coast,3.0
1995-04-15T00:00:00Z,OR Coast,7.0
1995-05-15T00:00:00Z,OR Coast,10.0
1995-06-15T00:00:00Z,OR Coast,5.0
1995-07-15T00:00:00Z,OR Coast,4.0
1995-08-15T00:00:00Z,OR Coast,4.0
1995-12-15T00:00:00Z,OR Coast,8.6
1996-01-15T00:00:00Z,OR Coast,21.6
1996-02-15T00:00:00Z,OR Coast,16.0
1996-03-15T00:00:00Z,OR Coast,19.0
1996-04-15T00:00:00Z,OR Coast,6.0
1996-05-15T00:00:00Z,OR Coast,15.0
1996-06-15T00:00:00Z,OR Coast,37.0
1996-07-15T00:00:00Z,OR Coast,22.0
1996-08-15T00:00:00Z,OR Coast,23.0
1996-09-15T00:00:00Z,OR Coast,6.6
1996-10-15T00:00:00Z,OR Coast,1.4
1996-11-15T00:00:00Z,OR Coast,1.0
1997-01-15T00:00:00Z,OR Coast,3.6
1997-02-15T00:00:00Z,OR Coast,1.0
1997-03-15T00:00:00Z,OR Coast,14.5
1997-04-15T00:00:00Z,OR Coast,1.6
1997-05-15T00:00:00Z,OR Coast,1.8
1997-06-15T00:00:00Z,OR Coast,1.0
1997-07-15T00:00:00Z,OR Coast,1.0
1997-08-15T00:00:00Z,OR Coast,1.0
1998-02-15T00:00:00Z,OR Coast,1.0
1998-03-15T00:00:00Z,OR Coast,1.0
1998-04-15T00:00:00Z,OR Coast,1.0
1998-05-15T00:00:00Z,OR Coast,1.0
1998-06-15T00:00:00Z,OR Coast,2.3
1998-07-15T00:00:00Z,OR Coast,57.1
1998-08-15T00:00:00Z,OR Coast,32.8
1998-09-15T00:00:00Z,OR Coast,82.0
1998-10-15T00:00:00Z,OR Coast,308.0
1998-11-15T00:00:00Z,OR Coast,81.6
1998-12-15T00:00:00Z,OR Coast,71.5
1999-02-15T00:00:00Z,OR Coast,46.7
1999-03-15T00:00:00Z,OR Coast,52.8
1999-04-15T00:00:00Z,OR Coast,51.4
1999-05-15T00:00:00Z,OR Coast,29.7
1999-06-15T00:00:00Z,OR Coast,16.0
1999-07-15T00:00:00Z,OR Coast,16.8
1999-08-15T00:00:00Z,OR Coast,4.3
1999-09-15T00:00:00Z,OR Coast,10.6
1999-12-15T00:00:00Z,OR Coast,1.0
2000-02-15T00:00:00Z,OR Coast,4.0
2000-03-15T00:00:00Z,OR Coast,5.8
2000-04-15T00:00:00Z,OR Coast,2.1
2000-05-15T00:00:00Z,OR Coast,1.8
2000-06-15T00:00:00Z,OR Coast,3.8
2000-07-15T00:00:00Z,OR Coast,2.5
2000-08-15T00:00:00Z,OR Coast,1.5
2000-09-15T00:00:00Z,OR Coast,1.6
2000-10-15T00:00:00Z,OR Coast,4.2
2000-11-15T00:00:00Z,OR Coast,2.5
2000-12-15T00:00:00Z,OR Coast,5.3
2001-02-15T00:00:00Z,OR Coast,1.6
2001-03-15T00:00:00Z,OR Coast,27.4
2001-04-15T00:00:00Z,OR Coast,35.9
2001-05-15T00:00:00Z,OR Coast,37.7
2001-06-15T00:00:00Z,OR Coast,25.5
2001-07-15T00:00:00Z,OR Coast,10.5
2001-08-15T00:00:00Z,OR Coast,20.9
2001-09-15T00:00:00Z,OR Coast,32.7
2001-10-15T00:00:00Z,OR Coast,18.1
2001-11-15T00:00:00Z,OR Coast,17.7
2001-12-15T00:00:00Z,OR Coast,19.3
2002-01-15T00:00:00Z,OR Coast,17.2
2002-02-15T00:00:00Z,OR Coast,14.5
2002-03-15T00:00:00Z,OR Coast,12.3
2002-04-15T00:00:00Z,OR Coast,11.4
2002-05-15T00:00:00Z,OR Coast,6.1
2002-06-15T00:00:00Z,OR Coast,7.3
2002-07-15T00:00:00Z,OR Coast,6.0
2002-08-15T00:00:00Z,OR Coast,5.2
2002-09-15T00:00:00Z,OR Coast,8.5
2002-10-15T00:00:00Z,OR Coast,117.0
2002-11-15T00:00:00Z,OR Coast,115.0
2002-12-15T00:00:00Z,OR Coast,93.0
2003-01-15T00:00:00Z,OR Coast,79.7
2003-02-15T00:00:00Z,OR Coast,89.0
2003-03-15T00:00:00Z,OR Coast,85.0
2003-04-15T00:00:00Z,OR Coast,53.0
2003-05-15T00:00:00Z,OR Coast,130.0
2003-06-15T00:00:00Z,OR Coast,287.0
2003-07-15T00:00:00Z,OR Coast,130.0
2003-08-15T00:00:00Z,OR Coast,100.0
2003-09-15T00:00:00Z,OR Coast,97.0
2003-10-15T00:00:00Z,OR Coast,60.0
2003-11-15T00:00:00Z,OR Coast,5.0
2003-12-15T00:00:00Z,OR Coast,9.5
2004-01-15T00:00:00Z,OR Coast,44.0
2004-02-15T00:00:00Z,OR Coast,2.2
2004-03-15T00:00:00Z,OR Coast,29.0
2004-04-15T00:00:00Z,OR Coast,56.0
2004-05-15T00:00:00Z,OR Coast,86.0
2004-06-15T00:00:00Z,OR Coast,87.0
2004-07-15T00:00:00Z,OR Coast,65.0
2004-08-15T00:00:00Z,OR Coast,48.0
2004-09-15T00:00:00Z,OR Coast,45.0
2004-10-15T00:00:00Z,OR Coast,47.0
2004-11-15T00:00:00Z,OR Coast,28.0
2004-12-15T00:00:00Z,OR Coast,4.0
2005-01-15T00:00:00Z,OR Coast,26.0
2005-02-15T00:00:00Z,OR Coast,49.0
2005-03-15T00:00:00Z,OR Coast,40.0
2005-04-15T00:00:00Z,OR Coast,73.0
2005-05-15T00:00:00Z,OR Coast,213.0
2005-06-15T00:00:00Z,OR Coast,130.0
2005-07-15T00:00:00Z,OR Coast,86.0
2005-08-15T00:00:00Z,OR Coast,54.0
2005-09-15T00:00:00Z,OR Coast,45.0
2005-10-15T00:00:00Z,OR Coast,58.0
2005-11-15T00:00:00Z,OR Coast,97.0
2005-12-15T00:00:00Z,OR Coast,69.0
2006-01-15T00:00:00Z,OR Coast,78.0
2006-02-15T00:00:00Z,OR Coast,46.0
2006-03-15T00:00:00Z,OR Coast,34.0
2006-04-15T00:00:00Z,OR Coast,22.0
2006-05-15T00:00:00Z,OR Coast,37.0
2006-06-15T00:00:00Z,OR Coast,20.0
2006-07-15T00:00:00Z,OR Coast,31.0
2006-08-15T00:00:00Z,OR Coast,27.0
2006-09-15T00:00:00Z,OR Coast,21.0
2006-10-15T00:00:00Z,OR Coast,14.0
2006-12-15T00:00:00Z,OR Coast,10.0
2007-01-15T00:00:00Z,OR Coast,13.0
2007-02-15T00:00:00Z,OR Coast,19.0
2007-03-15T00:00:00Z,OR Coast,7.9
2007-04-15T00:00:00Z,OR Coast,7.7
2007-05-15T00:00:00Z,OR Coast,6.2
2007-06-15T00:00:00Z,OR Coast,4.7
2007-07-15T00:00:00Z,OR Coast,8.2
2007-08-15T00:00:00Z,OR Coast,4.4
2007-09-15T00:00:00Z,OR Coast,1.0
2007-10-15T00:00:00Z,OR Coast,20.0
2007-11-15T00:00:00Z,OR Coast,3.7
2007-12-15T00:00:00Z,OR Coast,2.0
2008-01-15T00:00:00Z,OR Coast,4.0
2008-02-15T00:00:00Z,OR Coast,1.3
2008-03-15T00:00:00Z,OR Coast,2.3
2008-04-15T00:00:00Z,OR Coast,2.3
2008-05-15T00:00:00Z,OR Coast,13.0
2008-06-15T00:00:00Z,OR Coast,7.0
2008-07-15T00:00:00Z,OR Coast,1.3
2008-08-15T00:00:00Z,OR Coast,1.0
2008-09-15T00:00:00Z,OR Coast,1.0
2008-10-15T00:00:00Z,OR Coast,3.8
2008-11-15T00:00:00Z,OR Coast,1.0
2008-12-15T00:00:00Z,OR Coast,1.0
2009-01-15T00:00:00Z,OR Coast,1.0
2009-02-15T00:00:00Z,OR Coast,2.3
2009-03-15T00:00:00Z,OR Coast,1.0
2009-04-15T00:00:00Z,OR Coast,3.8
2009-05-15T00:00:00Z,OR Coast,8.1
2009-06-15T00:00:00Z,OR Coast,6.7
2009-07-15T00:00:00Z,OR Coast,5.3
2009-08-15T00:00:00Z,OR Coast,15.0
2009-09-15T00:00:00Z,OR Coast,11.0
2009-10-15T00:00:00Z,OR Coast,5.1
2009-11-15T00:00:00Z,OR Coast,8.4
2009-12-15T00:00:00Z,OR Coast,8.4
2010-01-15T00:00:00Z,OR Coast,5.3
2010-02-15T00:00:00Z,OR Coast,8.6
2010-03-15T00:00:00Z,OR Coast,2.3
2010-04-15T00:00:00Z,OR Coast,2.4
2010-05-15T00:00:00Z,OR Coast,4.2
2010-06-15T00:00:00Z,OR Coast,55.0
2010-07-15T00:00:00Z,OR Coast,33.0
2010-08-15T00:00:00Z,OR Coast,36.0
2010-09-15T00:00:00Z,OR Coast,19.0
2010-10-15T00:00:00Z,OR Coast,1.7
2010-11-15T00:00:00Z,OR Coast,19.0
2010-12-15T00:00:00Z,OR Coast,1.2
2011-01-15T00:00:00Z,OR Coast,29.0
2011-02-15T00:00:00Z,OR Coast,13.0
2011-03-15T00:00:00Z,OR Coast,1.0
2011-04-15T00:00:00Z,OR Coast,11.0
2011-05-15T00:00:00Z,OR Coast,13.0
2011-06-15T00:00:00Z,OR Coast,4.8
2011-07-15T00:00:00Z,OR Coast,5.6
