time,copepod_species_richness_anomaly,northern_copepod_biomass_anomaly,southern_copepod_biomass_anomaly
1996-06-01T00:00:00Z,-1.7328703,-0.3933003,0.15042615
1996-07-01T00:00:00Z,-2.4842594,0.042912222,-0.10063519
1996-08-01T00:00:00Z,-1.212963,-0.23649181,-0.033057664
1996-09-01T00:00:00Z,-1.0175925,0.1072271,0.052026123
1996-10-01T00:00:00Z,-1.0277778,0.23472638,0.001065895
1996-11-01T00:00:00Z,-2.1944444,-0.09749259,0.07490401
1996-12-01T00:00:00Z,-2.1,0.31581557,0.03069
1997-02-01T00:00:00Z,-2.0729167,0.016169097,0.020690508
1997-03-01T00:00:00Z,-0.8627451,0.3042647,-0.040844716
1997-04-01T00:00:00Z,1.1813725,-0.20388725,0.12833638
1997-05-01T00:00:00Z,-1.125,0.08334907,-0.09840977
1997-06-01T00:00:00Z,-3.2328703,-0.8002503,-0.10648497
1997-07-01T00:00:00Z,-2.1842592,-0.33525112,0.08412591
1997-08-01T00:00:00Z,0.12037037,-0.31585294,0.19213863
1997-09-01T00:00:00Z,4.4824076,-0.68895626,0.4335539
1997-10-01T00:00:00Z,0.9722222,-1.3706902,0.38996035
1997-11-01T00:00:00Z,-0.6944444,-0.6733426,0.33585957
1997-12-01T00:00:00Z,0.9,-1.0062511,0.06993444
1998-01-01T00:00:00Z,-2.7083333,-0.9116625,0.08946621
1998-03-01T00:00:00Z,3.637255,-1.0081186,0.28435528
1998-04-01T00:00:00Z,0.43137255,-1.2034873,0.26561415
1998-05-01T00:00:00Z,4.5416665,-0.99297315,0.44424948
1998-06-01T00:00:00Z,5.2671294,-1.1545447,0.58248913
1998-07-01T00:00:00Z,5.349074,-0.5530267,0.708737
1998-08-01T00:00:00Z,4.287037,-0.8300863,0.6952849
1998-09-01T00:00:00Z,3.2324073,-0.25586456,0.56455946
1998-10-01T00:00:00Z,0.9722222,-0.29539028,0.23473811
1998-11-01T00:00:00Z,4.8055553,0.29942408,0.2515207
1998-12-01T00:00:00Z,-1.1,-0.51838446,-0.105687775
1999-02-01T00:00:00Z,-4.0729165,0.09490243,-0.047565047
1999-03-01T00:00:00Z,0.13725491,-0.635202,-0.02306694
1999-04-01T00:00:00Z,-0.31862745,-0.53908724,-0.03738769
1999-05-01T00:00:00Z,-1.9583334,0.036060184,-0.17081162
1999-06-01T00:00:00Z,-2.7328703,0.3303497,-0.24245164
1999-07-01T00:00:00Z,-1.9842592,-0.15604444,-0.17934519
1999-08-01T00:00:00Z,-3.2129629,0.035224847,-0.2444521
1999-09-01T00:00:00Z,-3.0175927,-0.0291229,-0.32026833
1999-10-01T00:00:00Z,-1.0277778,0.56990975,-0.18630633
1999-11-01T00:00:00Z,-7.1944447,-0.076425925,-0.5572516
1999-12-01T00:00:00Z,0.9,0.3142489,-0.1569211
2000-01-01T00:00:00Z,-1.7083334,0.21870416,-0.4218449
2000-02-01T00:00:00Z,-4.0729165,-0.4064309,-0.27368727
2000-03-01T00:00:00Z,-0.8627451,-0.8538686,-0.3305225
2000-04-01T00:00:00Z,-4.3186274,0.12021275,-0.36356917
2000-05-01T00:00:00Z,-4.4583335,-0.22327314,-0.31640607
2000-06-01T00:00:00Z,-4.13287,-0.28575364,-0.23234275
2000-07-01T00:00:00Z,-3.4842594,0.19959556,-0.21424074
2000-08-01T00:00:00Z,-1.962963,0.3054582,-0.13856877
2000-09-01T00:00:00Z,-3.0175927,0.747316,-0.1360998
2000-10-01T00:00:00Z,-4.5277777,0.40465972,-0.26793966
2000-11-01T00:00:00Z,-2.1944444,0.07777408,-0.23935154
2000-12-01T00:00:00Z,0.9,0.2923489,0.019667778
2001-01-01T00:00:00Z,0.7916667,-0.022795834,-0.09546713
2001-02-01T00:00:00Z,-0.072916664,-0.14459758,-0.16129282
2001-03-01T00:00:00Z,0.6372549,-0.062451962,-0.083822496
2001-04-01T00:00:00Z,-1.9852941,0.0496683,-0.2994766
2001-05-01T00:00:00Z,-1.4583334,0.13069353,-0.30711162
2001-06-01T00:00:00Z,-1.4828703,0.19089137,-0.22125997
2001-07-01T00:00:00Z,-0.73425925,0.065470554,-0.1814713
2001-08-01T00:00:00Z,0.28703704,0.2781582,-0.13645951
2001-09-01T00:00:00Z,-1.7675925,0.071227096,-0.23086554
2001-10-01T00:00:00Z,-2.0277777,0.5061264,-0.21280077
2001-11-01T00:00:00Z,-0.19444445,0.6573241,-0.09467377
2002-01-01T00:00:00Z,1.2916666,0.3049375,0.08123287
2002-02-01T00:00:00Z,1.9270834,-0.29356423,0.04960162
2002-03-01T00:00:00Z,-0.5294118,0.18536471,-0.016915087
2002-04-01T00:00:00Z,1.0147059,0.3861683,-0.09925065
2002-05-01T00:00:00Z,-0.45833334,0.81934905,-0.3042394
2002-06-01T00:00:00Z,-3.1078703,0.4483122,-0.22460164
2002-07-01T00:00:00Z,-1.9842592,0.09256222,-0.18755464
2002-08-01T00:00:00Z,-1.0462962,-0.2336196,-0.19910766
2002-09-01T00:00:00Z,0.9824074,0.30006042,-0.24005166
2002-10-01T00:00:00Z,-1.5277778,0.60784304,-0.27411744
2002-11-01T00:00:00Z,1.3055556,0.5453907,0.0632429
2002-12-01T00:00:00Z,6.9,0.22088222,0.15125667
2003-01-01T00:00:00Z,1.2916666,-0.35752916,0.015843982
2003-02-01T00:00:00Z,0.59375,-0.4478198,0.05484236
2003-03-01T00:00:00Z,3.137255,0.25859803,0.6397775
2003-04-01T00:00:00Z,6.348039,0.17993496,0.41445675
2003-05-01T00:00:00Z,6.5416665,-0.42317316,0.3628106
2003-06-01T00:00:00Z,3.7671297,0.32268304,0.045731697
2003-07-01T00:00:00Z,1.0157408,0.040987223,0.14505924
2003-08-01T00:00:00Z,-1.3796296,-0.16164182,-0.048141
2003-09-01T00:00:00Z,-0.017592592,-0.437384,-0.06096647
2003-10-01T00:00:00Z,1.9722222,-0.08094028,0.18251589
2003-11-01T00:00:00Z,0.8055556,-0.1446926,-0.16206266
2004-01-01T00:00:00Z,-0.7083333,-0.9306125,0.124510646
2004-02-01T00:00:00Z,-1.0729166,-0.40726423,0.19251274
2004-03-01T00:00:00Z,4.470588,-0.4535353,0.34265527
2004-04-01T00:00:00Z,2.6813726,0.2831794,0.38105306
2004-05-01T00:00:00Z,1.5416666,0.54802686,0.22608837
2004-06-01T00:00:00Z,3.0171297,0.40245804,0.2503956
2004-07-01T00:00:00Z,1.0157408,-0.10950445,0.10503332
2004-08-01T00:00:00Z,0.537037,-0.010641821,0.24839789
2004-09-01T00:00:00Z,0.9824074,-0.5585729,0.18646778
2004-10-01T00:00:00Z,4.4722223,-0.63775694,0.10491034
2004-11-01T00:00:00Z,-0.6944444,-0.17010926,0.16705401
2004-12-01T00:00:00Z,0.9,-0.29985112,-0.03409889
2005-01-01T00:00:00Z,2.2916667,-0.5091958,0.3868884
2005-02-01T00:00:00Z,3.4270833,-0.4607809,0.46488497
2005-03-01T00:00:00Z,-0.8627451,-0.7374353,0.30001083
2005-04-01T00:00:00Z,0.6813725,-0.8206206,0.64007527
2005-05-01T00:00:00Z,4.5416665,-1.1955231,0.64766616
2005-06-01T00:00:00Z,3.2671297,-1.5351447,0.6424965
2005-07-01T00:00:00Z,7.015741,-1.1327711,0.60525924
2005-08-01T00:00:00Z,3.7870371,-0.19965848,0.54487014
2005-09-01T00:00:00Z,3.3157408,-0.1647618,0.28924093
2005-10-01T00:00:00Z,0.9722222,0.05367639,0.37764922
